siruta,primar,id_partid_principal,nume_partid_principal,linkp
34075,MUREȘAN IOAN,15,PARTIDUL DEMOCRAT LIBERAL,
56327,CZEGHER ȘTEFAN,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
108614,HERBIL ION,31,PARTIDUL NAȚIONAL LIBERAL,
55008,MORAR COSTAN,62,UNIUNEA SOCIAL LIBERALĂ,
108918,LUCA FLORIAN LUCIAN,62,UNIUNEA SOCIAL LIBERALĂ,
179873,SZABÓ ELEK,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
140244,ROMOCEA SORIN ALEXANDRU,31,PARTIDUL NAȚIONAL LIBERAL,
106782,DRAGOȘ ALEXANDRU,62,UNIUNEA SOCIAL LIBERALĂ,
31878,CHIRILĂ FLORIN BUJOR,62,UNIUNEA SOCIAL LIBERALĂ,
32027,NYAKÓ IOZSEF,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
32153,MATYI MIKLÓS,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
137675,GĂMAN MIHAI,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
136483,COICA COSTEL DOREL,62,UNIUNEA SOCIAL LIBERALĂ,
136848,DUMA OVIDIU - MARIUS,62,UNIUNEA SOCIAL LIBERALĂ,
137960,LENGYEL ȘTEFAN,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
137185,ROCA IOSIF,15,PARTIDUL DEMOCRAT LIBERAL,
138164,DOBOS STEFAN,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
138280,POP DUMITRU DOREL,62,UNIUNEA SOCIAL LIBERALĂ,
139394,SZŰCS SZABOLCS,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
180028,SIMON LEVENTE,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
32161,SOMOGYI LUDOVIC,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
31057,CARȚIȘ MIRCEA,61,PARTIDUL SOCIAL DEMOCRAT,
137130,BOJAN AUREL,62,UNIUNEA SOCIAL LIBERALĂ,
138869,CRASNAI IOAN,62,UNIUNEA SOCIAL LIBERALĂ,
140324,BAROU IOAN,62,UNIUNEA SOCIAL LIBERALĂ,
140501,CĂTANĂ V IOAN,61,PARTIDUL SOCIAL DEMOCRAT,
140583,MESESAN IOAN,62,UNIUNEA SOCIAL LIBERALĂ,
141376,DOBRAI FRANCISC,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
142079,BERCEAN SANDU,61,PARTIDUL SOCIAL DEMOCRAT,
142854,KIS IUHASZ CIABA,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
31208,CREȚ GHEORGHE,61,PARTIDUL SOCIAL DEMOCRAT,
31333,BALÁZSI IOSIF,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
26653,MĂRCUȘ IOAN,15,PARTIDUL DEMOCRAT LIBERAL,
137728,FENYI LAURENȚIU,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
138663,KARDOSI IOAN ZOLTAN,9,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,
30069,MERȚ MARIN,62,UNIUNEA SOCIAL LIBERALĂ,
28497,NIRI ALEXANDRU,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
29341,FĂRCUȚA SABINA,15,PARTIDUL DEMOCRAT LIBERAL,
31510,GABOR DORU,31,PARTIDUL NAȚIONAL LIBERAL,
29573,HORGA IOAN,61,PARTIDUL SOCIAL DEMOCRAT,
31565,BORDAȘ CAROL,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
26699,ȚIPȚER ZENO - DĂNUȚ,62,UNIUNEA SOCIAL LIBERALĂ,
27070,NUȚAȘ GABRIEL OCTAVIAN,31,PARTIDUL NAȚIONAL LIBERAL,
27212,LAZAR MITICĂ - FLORENTIN,31,PARTIDUL NAȚIONAL LIBERAL,
27329,MAROȘAN ARSENIE,15,PARTIDUL DEMOCRAT LIBERAL,
27506,GROZA SORIN VASILE,31,PARTIDUL NAȚIONAL LIBERAL,
27560,SARCA SORIN PETRU,15,PARTIDUL DEMOCRAT LIBERAL,
27686,MATEAȘ ADRIAN,31,PARTIDUL NAȚIONAL LIBERAL,
27935,SĂRĂCUȚ AUGUSTIN,62,UNIUNEA SOCIAL LIBERALĂ,
32179,MAGHEAR ALEXANDRU,61,PARTIDUL SOCIAL DEMOCRAT,
29813,PAUL CRISTIAN - VASILE,56,PARTIDUL CONSERVATOR,
32187,KELEMEN ZOLTAN,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
29902,SORBÁN LEVENTE,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
32195,PURGE IOAN,61,PARTIDUL SOCIAL DEMOCRAT,
31921,SABĂU MIHAELA ANGELA,61,PARTIDUL SOCIAL DEMOCRAT,
138538,BURLACU IOAN FLORIN,62,UNIUNEA SOCIAL LIBERALĂ,
26564,BOLOJAN ILIE - GAVRIL,62,UNIUNEA SOCIAL LIBERALĂ,
26582,POPUȘ LUCIAN,15,PARTIDUL DEMOCRAT LIBERAL,
26742,LAZĂR VASILE - IONUȚ,31,PARTIDUL NAȚIONAL LIBERAL,
30014,TIURBE DAN - ALEXANDRU,15,PARTIDUL DEMOCRAT LIBERAL,
26975,TÖRÖK LÁSZLÓ,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
27169,BARCUI BARNA,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
27908,VÉKONY MIHALY,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
27285,MATICA TEODOR LIVIU,62,UNIUNEA SOCIAL LIBERALĂ,
27631,BÁTORI GÉZA,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
27757,PETRUȚ IOAN,31,PARTIDUL NAȚIONAL LIBERAL,
31789,COSTE TEODOR,31,PARTIDUL NAȚIONAL LIBERAL,
28246,BĂRNĂU DUMITRU - ALIN,15,PARTIDUL DEMOCRAT LIBERAL,
31841,BULZAN IOAN,62,UNIUNEA SOCIAL LIBERALĂ,
28335,CORB FLORIN,15,PARTIDUL DEMOCRAT LIBERAL,
28415,VITÁLYOS BARNA,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
28530,TRIPO ȘTEFAN,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
28610,MOLNÁR JÓZSEF,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
28665,HUPLE GHEORGHE,15,PARTIDUL DEMOCRAT LIBERAL,
28816,GURĂU LIVIU,31,PARTIDUL NAȚIONAL LIBERAL,
29001,NAGY ISTVÁN,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
29038,FILIP VICTOR,62,UNIUNEA SOCIAL LIBERALĂ,
29154,NEAG NICOLAE,15,PARTIDUL DEMOCRAT LIBERAL,
29467,PAȘCA IOAN,62,UNIUNEA SOCIAL LIBERALĂ,
29662,FAUR MIHAI,15,PARTIDUL DEMOCRAT LIBERAL,
30470,ȘORA IOAN,31,PARTIDUL NAȚIONAL LIBERAL,
29724,TOGOR DUMITRU,61,PARTIDUL SOCIAL DEMOCRAT,
30648,DĂRĂBAN ALECSANDRU,31,PARTIDUL NAȚIONAL LIBERAL,
29519,PETROI ADRIAN,31,PARTIDUL NAȚIONAL LIBERAL,
31716,CODREAN ADRIAN - ROMUS,31,PARTIDUL NAȚIONAL LIBERAL,
30719,ȘTEFANICĂ ADRIAN - CĂLIN,62,UNIUNEA SOCIAL LIBERALĂ,
136768,PAPP TIBOR,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
32090,COCIUBA VASILE,62,UNIUNEA SOCIAL LIBERALĂ,
31654,VINCZE NÁNDOR - ȘTEFAN,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,
