coldep_code,jud_lbl,nume,partid_avb,id_partid,partid,membru_pana,activ_flag
MH1,MEHEDINTI,Nicolae Şerban ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
MH2,MEHEDINTI,Chiuariu Tudor-Alexandru ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
MM1,MARAMURES,Rogojan Mihai-Ciprian ,neafiliat,999,CANDIDAT INDEPENDENT,,1
MM2,MARAMURES,Bota Marius Sorin-Ovidiu ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
MM3,MARAMURES,Pop Liviu-Marian ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
MS1,MURES,Paşcan Emil Marius ,PDL,15,PARTIDUL DEMOCRAT LIBERAL,,1
MS2,MURES,Markó Béla ,UDMR,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,,1
MS3,MURES,Mora Akos-Daniel ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
MS4,MURES,Frătean Petru Alexandru ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
NT1,NEAMT,Ţapu Nazare Eugen ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
NT2,NEAMT,Cadăr Leonard ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
NT3,NEAMT,Bumbu Octavian-Liviu ,PSD (membru UNPR),63,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,,1
OT1,OLT,Vâlcov Darius Bogdan ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
OT2,OLT,Păunescu Teiu ,neafiliat,999,CANDIDAT INDEPENDENT,,1
OT3,OLT,Şova Dan Coman ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
PH1,PRAHOVA,Severin Georgică ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
PH2,PRAHOVA,Savu Daniel ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
PH3,PRAHOVA,Ioniţă Dan Aurel ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
PH4,PRAHOVA,Oprea Stefan Radu ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
PH5,PRAHOVA,Mitu Augustin Constantin ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
SB1,SIBIU,Ariton Ion ,PDL,15,PARTIDUL DEMOCRAT LIBERAL,,1
SB2,SIBIU,Arcaş Viorel ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
SB3,SIBIU,Neagu Nicolae ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
SJ1,SALAJ,Vegh Alexandru ,UDMR,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,,1
SJ2,SALAJ,Pop Gheorghe ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
SM1,SATU MARE,Marian Valer ,neafiliat,999,CANDIDAT INDEPENDENT,,1
SM2,SATU MARE,Pataki Csaba ,UDMR,38,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,,1
SV1,SUCEAVA,Bereanu Neculai ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
SV2,SUCEAVA,Flutur Gheorghe ,PDL,15,PARTIDUL DEMOCRAT LIBERAL,,1
SV3,SUCEAVA,Donţu Ovidiu Liviu ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
SV4,SUCEAVA,Mihai Neagu ,PSD (membru UNPR),63,UNIUNEA NAȚIONALĂ PENTRU PROGRESUL ROMÂNIEI,,1
TL1,TULCEA,Motoc Octavian ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
TL2,TULCEA,Belacurencu Trifon ,PSD,61,PARTIDUL SOCIAL DEMOCRAT,,1
TM1,TIMIS,Ardelean Ben-Oni ,PNL,31,PARTIDUL NAȚIONAL LIBERAL,,1
TM2,TIMIS,Ehegartner Petru ,PLC,100,GRUPUL PARLAMENTAR LIBERAL CONSERVATOR,,1
